"marca";"nome";"preco_antigo_reais";"preco_antigo_centavos";"preco_novo_reais";"preco_novo_centavos";"nota";"qtde_avaliacoes";"_fonte";"_data_coleta";"preco_antigo";"preco_novo"
"EVOLTENN";"Kit 3 Combo Tenis Masculino Corrida Original Academia Leve";198.0;78.0;178.0;78.0;4.5;1011;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";198.78;178.78
"FILA";"Tênis Fila Ride Unissex Original ";329.0;99.0;234.0;99.0;5.0;1;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";329.99;234.99
"MIZUNO";"Mizuno Wave Nirvana 9 Masculino Adultos";0.0;0.0;147.0;0.0;5.0;1;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";0.0;147.0
"MIZUNO";"Tênis Mizuno Masculino Wave Legend 2 Esportivo Corrida";639.0;90.0;426.0;90.0;0.0;0;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";639.9;426.9
"";"Tenis Masculino Academia Corrida Wave Force Promoção Barato";75.0;99.0;72.0;99.0;4.2;369;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";75.99;72.99
"MIZUNO";"Tênis Mizuno Wave Zest Masculino";499.0;90.0;394.0;90.0;5.0;5;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";499.9;394.9
"ADIDAS";"Tênis De Corrida Masculino Duramo Esportivo Performance Leve";499.0;99.0;439.0;99.0;5.0;8;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";499.99;439.99
"";"Kit Tênis De Corrida Masculino Academia Leve + Relógio";0.0;0.0;99.0;0.0;4.4;262;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";0.0;99.0
"OLYMPIKUS";"Tênis Running Masculino Olympikus Evasense Dynamic";345.0;75.0;304.0;75.0;0.0;0;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";345.75;304.75
"NEW BALANCE";"Tênis New Balance 997s Sport Masculino Adulto - Couro";0.0;0.0;196.0;0.0;0.0;0;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";0.0;196.0
"OLYMPIKUS";"Tênis Running Masculino Olympikus Evasense Dynamic";345.0;75.0;273.0;75.0;0.0;0;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";345.75;273.75
"";"Tênis Masculino Olymp Olimp Space Caminhada Barato Promoção ";78.0;99.0;67.0;99.0;4.3;2320;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";78.99;67.99
"";"Kit 3 Tênis Masculino Prospect Fly Oferta Promoção + Relógio";219.0;90.0;138.0;90.0;4.4;34;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";219.9;138.9
"";"Tênis Masculino Esportivo Caminhada Academia Corrida - It";89.0;90.0;78.0;90.0;4.5;382;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";89.9;78.9
"OLDSEN";"Tenis Masculino Unissex Botinha Corrida Academia Promoção";78.0;90.0;74.0;90.0;4.5;917;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";78.9;74.9
"PUMA";"Tênis Puma Masculino Cell Divide V2 Bdp Para Corrida";589.0;90.0;448.0;90.0;5.0;2;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";589.9;448.9
"ADAPTION";"Kit 2 Pares De Tenis Masculino Academia Limited + Relogio";139.0;90.0;118.0;90.0;4.4;4076;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";139.9;118.9
"PUMA";"Tênis Puma Haste Sl Bdp Masculino";569.0;90.0;429.0;90.0;0.0;0;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";569.9;429.9
"OLYMPIKUS";"Olympikus Jogging 100 Masculino Adultos";209.0;90.0;165.0;90.0;4.5;83;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";209.9;165.9
"UNDER ARMOUR";"Under Armour Charged Slight 2 Masculino Adultos";449.0;99.0;291.0;99.0;4.8;416;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";449.99;291.99
"";"Tênis Masculino Esportivo Caminhada Academia Corrida - It";89.0;90.0;78.0;90.0;4.5;382;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";89.9;78.9
"MIZUNO";"Tênis Mizuno Masculino Wave Mirai 5 Esportivo Corrida";529.0;90.0;369.0;90.0;5.0;4;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";529.9;369.9
"";"Tênis Bolsonaro : Liberdade Style Super Confortável ";0.0;0.0;169.0;0.0;4.8;115;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";0.0;169.0
